id,totalBadgesInCommunityCount,account,badges,balance,address
0x01d517d706494ee4b01cbc8c699b529cd150edea,5,"{'address': '0x01d517d706494ee4b01cbc8c699b529cd150edea', 'names': {'ens': ''}}","[{'id': 'badges:11491979669906734446672367888192065450399424176388652763121438275379585312962', 'address': '0x01d517d706494ee4b01cbc8c699b529cd150edea', 'specUrn': 'ipfs://bafyreifdy5xhctluuqkaucb4n223wxa2e7z2gyt642l2ndkjyxdyauebpq/metadata.json', 'image': 'ipfs://bafybeig4ln4ddlk6d4tgn6k734nhmnwc3zxsb37bfejd27m4bp3o4ytmgi/image', 'name': 'TE FUNDAMENTALS – MODULE 4 of 5 – VERSION 1 – 2022 '}, {'id': 'badges:19858722250059743200913706490222230484725949162835417951855516875762717946109', 'address': '0x01d517d706494ee4b01cbc8c699b529cd150edea', 'specUrn': 'ipfs://bafyreih6m5sat35yoq3ezk6pppxhpdkm3dafk7dr4nmzptnxoaz4tqkcnu/metadata.json', 'image': 'ipfs://bafybeieiee22ja7zmof7gcfwg3i7dywfkist37bpkpka4ysrzgamhzqmba/image', 'name': 'TE FUNDAMENTALS – MODULE 1 of 5 – VERSION 1 – 2022'}, {'id': 'badges:48954943545060552156384384338149740473388727125420114127546978979563011647572', 'address': '0x01d517d706494ee4b01cbc8c699b529cd150edea', 'specUrn': 'ipfs://bafyreiarf2pfqwfbb6gjimlbzd5loxvdygjai5hs3e3hi2aqrd5kiiu3ja/metadata.json', 'image': 'ipfs://bafybeiarvbvjnwfl4vhbx27wq5muk6w5fagdfodtcryumyxqbj6xuxyh5e/image', 'name': 'TE FUNDAMENTALS – MODULE 5 of 5 – VERSION 1 – 2022'}]",5,0x01d517d706494ee4b01cbc8c699b529cd150edea
0x0230b092ff54c1c7f17da5daa598117abe3e5715,4,"{'address': '0x0230b092ff54c1c7f17da5daa598117abe3e5715', 'names': {'ens': ''}}","[{'id': 'badges:10139943691170958281514988329286660679146369429071825244210969681940316449953', 'address': '0x0230b092ff54c1c7f17da5daa598117abe3e5715', 'specUrn': 'ipfs://bafyreieayklfii7mei3hj5hf5qcwo7cwhcwx23lkfylnqt4ec5eweban7e/metadata.json', 'image': 'ipfs://bafybeiflhcosze4yg4i6rqiocf3t3z2wniblixiorqhou4x5g5rhy2pjuu/image', 'name': 'TE FUNDAMENTALS – MODULE 2 of 5 – VERSION 1 – 2022'}, {'id': 'badges:109418150282325587094092673060364658266541089242162925983289331298659064205660', 'address': '0x0230b092ff54c1c7f17da5daa598117abe3e5715', 'specUrn': 'ipfs://bafyreih6m5sat35yoq3ezk6pppxhpdkm3dafk7dr4nmzptnxoaz4tqkcnu/metadata.json', 'image': 'ipfs://bafybeieiee22ja7zmof7gcfwg3i7dywfkist37bpkpka4ysrzgamhzqmba/image', 'name': 'TE FUNDAMENTALS – MODULE 1 of 5 – VERSION 1 – 2022'}, {'id': 'badges:22996944121538697519389197322433558012344523180743228881338446788771146066787', 'address': '0x0230b092ff54c1c7f17da5daa598117abe3e5715', 'specUrn': 'ipfs://bafyreifdy5xhctluuqkaucb4n223wxa2e7z2gyt642l2ndkjyxdyauebpq/metadata.json', 'image': 'ipfs://bafybeig4ln4ddlk6d4tgn6k734nhmnwc3zxsb37bfejd27m4bp3o4ytmgi/image', 'name': 'TE FUNDAMENTALS – MODULE 4 of 5 – VERSION 1 – 2022 '}]",4,0x0230b092ff54c1c7f17da5daa598117abe3e5715
0x023136e9845063c7733fe7374f40c5f751f7f6a4,1,"{'address': '0x023136e9845063c7733fe7374f40c5f751f7f6a4', 'names': {'ens': 'mdock.eth'}}","[{'id': 'badges:53126542904487610835412063411803392174896904033335472038251521326997211148606', 'address': '0x023136e9845063c7733fe7374f40c5f751f7f6a4', 'specUrn': 'ipfs://bafyreigk4tprcxlma64rbhw4ohcxqqpjcqsa5ab2lt4jrvyxsld7paddwu/metadata.json', 'image': 'ipfs://bafybeiaql3qjx6d4gcpm4xwbmk2ytf6lcexhg22yugneyc5twvhmn2wd5u/image', 'name': 'TE FUNDAMENTALS – MODULE 1 of 5 – VERSION 2 – 2023'}]",1,0x023136e9845063c7733fe7374f40c5f751f7f6a4
0x024bd3d1c3b6ba2277a744d7a99fbade9404a370,6,"{'address': '0x024bd3d1c3b6ba2277a744d7a99fbade9404a370', 'names': {'ens': ''}}","[{'id': 'badges:100508341940417381069617536827299835656563522828820205583873759774432353043569', 'address': '0x024bd3d1c3b6ba2277a744d7a99fbade9404a370', 'specUrn': 'ipfs://bafyreic7vcyv73b4rdbiuzdh3msgizfl3svnnbsch2h6xhhxasewffkn2a/metadata.json', 'image': 'ipfs://bafybeihb7rhaqbkl4accy54jedgavrpnxnolelac62atpum6knwtpkmn6e/image', 'name': 'NFT-based Reputation in Web3 – V1 – 2023'}, {'id': 'badges:113809283557905047545105635822270478034231379301818930156241642062971189764080', 'address': '0x024bd3d1c3b6ba2277a744d7a99fbade9404a370', 'specUrn': 'ipfs://bafyreiah2tggjsvi6l3s7ht32yjhmugdzvl6fcyc6lyqy4swuaiavujajm/metadata.json', 'image': 'ipfs://bafybeia6debvnodrn4gu36shk6c3geyw62fwisstvdg2rzxyrurdpffjc4/image', 'name': 'TE FUNDAMENTALS – MODULE 4 of 5 – VERSION 2 – 2023'}, {'id': 'badges:47849815345534311782556751644223538681588741599381013816484641660857108219207', 'address': '0x024bd3d1c3b6ba2277a744d7a99fbade9404a370', 'specUrn': 'ipfs://bafyreigk4tprcxlma64rbhw4ohcxqqpjcqsa5ab2lt4jrvyxsld7paddwu/metadata.json', 'image': 'ipfs://bafybeiaql3qjx6d4gcpm4xwbmk2ytf6lcexhg22yugneyc5twvhmn2wd5u/image', 'name': 'TE FUNDAMENTALS – MODULE 1 of 5 – VERSION 2 – 2023'}]",6,0x024bd3d1c3b6ba2277a744d7a99fbade9404a370
0x033e64537940e0602e8f27f571d93904c0009486,5,"{'address': '0x033e64537940e0602e8f27f571d93904c0009486', 'names': {'ens': ''}}","[{'id': 'badges:112461111990713020069134687239784078247485669043547203055319463553325619969973', 'address': '0x033e64537940e0602e8f27f571d93904c0009486', 'specUrn': 'ipfs://bafyreibypfci2nkeiodzi3q7znd4p3ola6qn5qkibsykeyvc523kliogki/metadata.json', 'image': 'ipfs://bafybeibuxta425io3bo66yeljqk4r2ueoh7uj7lqf35dgn5pplkwifbbci/image', 'name': 'TE FUNDAMENTALS – MODULE 3 of 5 – VERSION 1 – 2022'}, {'id': 'badges:114500430738487908327971234774409759691665086867737777804657638782429681010491', 'address': '0x033e64537940e0602e8f27f571d93904c0009486', 'specUrn': 'ipfs://bafyreiarf2pfqwfbb6gjimlbzd5loxvdygjai5hs3e3hi2aqrd5kiiu3ja/metadata.json', 'image': 'ipfs://bafybeiarvbvjnwfl4vhbx27wq5muk6w5fagdfodtcryumyxqbj6xuxyh5e/image', 'name': 'TE FUNDAMENTALS – MODULE 5 of 5 – VERSION 1 – 2022'}, {'id': 'badges:24092694773180133311103100389620865757379556248256354475845567429489731306269', 'address': '0x033e64537940e0602e8f27f571d93904c0009486', 'specUrn': 'ipfs://bafyreieayklfii7mei3hj5hf5qcwo7cwhcwx23lkfylnqt4ec5eweban7e/metadata.json', 'image': 'ipfs://bafybeiflhcosze4yg4i6rqiocf3t3z2wniblixiorqhou4x5g5rhy2pjuu/image', 'name': 'TE FUNDAMENTALS – MODULE 2 of 5 – VERSION 1 – 2022'}]",5,0x033e64537940e0602e8f27f571d93904c0009486
0x049debbad61a20e21e872b06ef4f25be1253c802,5,"{'address': '0x049debbad61a20e21e872b06ef4f25be1253c802', 'names': {'ens': ''}}","[{'id': 'badges:104639962257809170408723442126141448907509867036426897860198423716525484836950', 'address': '0x049debbad61a20e21e872b06ef4f25be1253c802', 'specUrn': 'ipfs://bafyreiah2tggjsvi6l3s7ht32yjhmugdzvl6fcyc6lyqy4swuaiavujajm/metadata.json', 'image': 'ipfs://bafybeia6debvnodrn4gu36shk6c3geyw62fwisstvdg2rzxyrurdpffjc4/image', 'name': 'TE FUNDAMENTALS – MODULE 4 of 5 – VERSION 2 – 2023'}, {'id': 'badges:54389244179501567290047769915412277177618876263109180508850372714066119294383', 'address': '0x049debbad61a20e21e872b06ef4f25be1253c802', 'specUrn': 'ipfs://bafyreih6m5sat35yoq3ezk6pppxhpdkm3dafk7dr4nmzptnxoaz4tqkcnu/metadata.json', 'image': 'ipfs://bafybeieiee22ja7zmof7gcfwg3i7dywfkist37bpkpka4ysrzgamhzqmba/image', 'name': 'TE FUNDAMENTALS – MODULE 1 of 5 – VERSION 1 – 2022'}, {'id': 'badges:62638087857331556415958351744979824578606381182135650581231954724311787613763', 'address': '0x049debbad61a20e21e872b06ef4f25be1253c802', 'specUrn': 'ipfs://bafyreieayklfii7mei3hj5hf5qcwo7cwhcwx23lkfylnqt4ec5eweban7e/metadata.json', 'image': 'ipfs://bafybeiflhcosze4yg4i6rqiocf3t3z2wniblixiorqhou4x5g5rhy2pjuu/image', 'name': 'TE FUNDAMENTALS – MODULE 2 of 5 – VERSION 1 – 2022'}]",5,0x049debbad61a20e21e872b06ef4f25be1253c802
0x061011f04b8e8c7fbb30632e609ba0aa07421d72,1,"{'address': '0x061011f04b8e8c7fbb30632e609ba0aa07421d72', 'names': {'ens': ''}}","[{'id': 'badges:71194418269732867816806912157368205393402734021000104903471270396206132170643', 'address': '0x061011f04b8e8c7fbb30632e609ba0aa07421d72', 'specUrn': 'ipfs://bafyreigk4tprcxlma64rbhw4ohcxqqpjcqsa5ab2lt4jrvyxsld7paddwu/metadata.json', 'image': 'ipfs://bafybeiaql3qjx6d4gcpm4xwbmk2ytf6lcexhg22yugneyc5twvhmn2wd5u/image', 'name': 'TE FUNDAMENTALS – MODULE 1 of 5 – VERSION 2 – 2023'}]",1,0x061011f04b8e8c7fbb30632e609ba0aa07421d72
0x06a4974834fad8c21ae1edb09b1e7d971478afa6,5,"{'address': '0x06a4974834fad8c21ae1edb09b1e7d971478afa6', 'names': {'ens': ''}}","[{'id': 'badges:21972762496964340086508554544611381384775726021666902928626418119433781595442', 'address': '0x06a4974834fad8c21ae1edb09b1e7d971478afa6', 'specUrn': 'ipfs://bafyreic7vcyv73b4rdbiuzdh3msgizfl3svnnbsch2h6xhhxasewffkn2a/metadata.json', 'image': 'ipfs://bafybeihb7rhaqbkl4accy54jedgavrpnxnolelac62atpum6knwtpkmn6e/image', 'name': 'NFT-based Reputation in Web3 – V1 – 2023'}, {'id': 'badges:23385190435554553166924782617473170117639829169339710467345100200256417728758', 'address': '0x06a4974834fad8c21ae1edb09b1e7d971478afa6', 'specUrn': 'ipfs://bafyreidewwaxhv4pcbyezlfuevluyjkky5xlqmxho77ibn4vzs5pxzmv5i/metadata.json', 'image': 'ipfs://bafybeib4ytnweuw5tepqtps7t5njpryod3lwdqgifqdcxb5bdgm7nkbuaq/image', 'name': 'TE FUNDAMENTALS – MODULE 3 of 5 – VERSION 2 – 2023'}, {'id': 'badges:33931143126343147567911526511960861355262605716213053923096144300086364904612', 'address': '0x06a4974834fad8c21ae1edb09b1e7d971478afa6', 'specUrn': 'ipfs://bafyreidzxtxvjtnzhljczhzxsoyznksdzgrrf3h6giiuc47ywn4kxpdfja/metadata.json', 'image': 'ipfs://bafybeid2menkdy6lom6losdt7s3u2t3snjikcd63rfcfze4kywhertumwi/image', 'name': 'TE FUNDAMENTALS – MODULE 5 of 5 – VERSION 2 – 2023'}]",5,0x06a4974834fad8c21ae1edb09b1e7d971478afa6
0x06b3b315cbf8b6f639508911976e2a58f1729e3b,4,"{'address': '0x06b3b315cbf8b6f639508911976e2a58f1729e3b', 'names': {'ens': ''}}","[{'id': 'badges:13450408480625967312276201541795954397750795199381980173287160655341104866187', 'address': '0x06b3b315cbf8b6f639508911976e2a58f1729e3b', 'specUrn': 'ipfs://bafyreiarf2pfqwfbb6gjimlbzd5loxvdygjai5hs3e3hi2aqrd5kiiu3ja/metadata.json', 'image': 'ipfs://bafybeiarvbvjnwfl4vhbx27wq5muk6w5fagdfodtcryumyxqbj6xuxyh5e/image', 'name': 'TE FUNDAMENTALS – MODULE 5 of 5 – VERSION 1 – 2022'}, {'id': 'badges:4675601451393376784709566079466590836303658464999534824724746259708918488441', 'address': '0x06b3b315cbf8b6f639508911976e2a58f1729e3b', 'specUrn': 'ipfs://bafyreibypfci2nkeiodzi3q7znd4p3ola6qn5qkibsykeyvc523kliogki/metadata.json', 'image': 'ipfs://bafybeibuxta425io3bo66yeljqk4r2ueoh7uj7lqf35dgn5pplkwifbbci/image', 'name': 'TE FUNDAMENTALS – MODULE 3 of 5 – VERSION 1 – 2022'}, {'id': 'badges:53705953142866964022799123577542394875950333298514215051879421733829958818905', 'address': '0x06b3b315cbf8b6f639508911976e2a58f1729e3b', 'specUrn': 'ipfs://bafyreieayklfii7mei3hj5hf5qcwo7cwhcwx23lkfylnqt4ec5eweban7e/metadata.json', 'image': 'ipfs://bafybeiflhcosze4yg4i6rqiocf3t3z2wniblixiorqhou4x5g5rhy2pjuu/image', 'name': 'TE FUNDAMENTALS – MODULE 2 of 5 – VERSION 1 – 2022'}]",4,0x06b3b315cbf8b6f639508911976e2a58f1729e3b
0x071903cc9a767a845fcd3ab7373e4d5328522481,5,"{'address': '0x071903cc9a767a845fcd3ab7373e4d5328522481', 'names': {'ens': ''}}","[{'id': 'badges:105613407501354150217837710228226610438366819468355601233257894979629941461428', 'address': '0x071903cc9a767a845fcd3ab7373e4d5328522481', 'specUrn': 'ipfs://bafyreiarf2pfqwfbb6gjimlbzd5loxvdygjai5hs3e3hi2aqrd5kiiu3ja/metadata.json', 'image': 'ipfs://bafybeiarvbvjnwfl4vhbx27wq5muk6w5fagdfodtcryumyxqbj6xuxyh5e/image', 'name': 'TE FUNDAMENTALS – MODULE 5 of 5 – VERSION 1 – 2022'}, {'id': 'badges:44075268341398266992800323785433324634048821286058541939279624236307294139782', 'address': '0x071903cc9a767a845fcd3ab7373e4d5328522481', 'specUrn': 'ipfs://bafyreifdy5xhctluuqkaucb4n223wxa2e7z2gyt642l2ndkjyxdyauebpq/metadata.json', 'image': 'ipfs://bafybeig4ln4ddlk6d4tgn6k734nhmnwc3zxsb37bfejd27m4bp3o4ytmgi/image', 'name': 'TE FUNDAMENTALS – MODULE 4 of 5 – VERSION 1 – 2022 '}, {'id': 'badges:46167834097372761901809534966454418977238456216607001129875644099744291323352', 'address': '0x071903cc9a767a845fcd3ab7373e4d5328522481', 'specUrn': 'ipfs://bafyreibypfci2nkeiodzi3q7znd4p3ola6qn5qkibsykeyvc523kliogki/metadata.json', 'image': 'ipfs://bafybeibuxta425io3bo66yeljqk4r2ueoh7uj7lqf35dgn5pplkwifbbci/image', 'name': 'TE FUNDAMENTALS – MODULE 3 of 5 – VERSION 1 – 2022'}]",5,0x071903cc9a767a845fcd3ab7373e4d5328522481
